Algoritmo,Tamano_Matriz,Num_Hilos,Repeticion,Tiempo_usec
mmClasicaPosix,100,12,26,3214
mmClasicaPosix,100,12,27,4858
mmClasicaPosix,100,12,28,7232
mmClasicaPosix,100,12,29,3518
mmClasicaPosix,100,12,30,4191
mmClasicaPosix,100,16,1,4689
mmClasicaPosix,100,16,2,6722
mmClasicaPosix,100,16,3,4836
mmClasicaPosix,100,16,4,5974
mmClasicaPosix,100,16,5,7561
mmClasicaPosix,100,16,6,13191
mmClasicaPosix,100,16,7,4645
mmClasicaPosix,100,16,8,4456
mmClasicaPosix,100,16,9,4613
mmClasicaPosix,100,16,10,3817
mmClasicaPosix,100,16,11,3423
mmClasicaPosix,100,16,12,3269
mmClasicaPosix,100,16,13,2311
mmClasicaPosix,100,16,14,2917
mmClasicaPosix,100,16,15,4000
mmClasicaPosix,100,16,16,3470
mmClasicaPosix,100,16,17,4584
mmClasicaPosix,100,16,18,4070
mmClasicaPosix,100,16,19,3467
mmClasicaPosix,100,16,20,4156
mmClasicaPosix,100,16,21,4829
mmClasicaPosix,100,16,22,4484
mmClasicaPosix,100,16,23,4818
mmClasicaPosix,100,16,24,3416
mmClasicaPosix,100,16,25,3311
mmClasicaPosix,100,16,26,3777
mmClasicaPosix,100,16,27,4087
mmClasicaPosix,100,16,28,6050
mmClasicaPosix,100,16,29,5497
mmClasicaPosix,100,16,30,5417
mmClasicaPosix,500,1,1,809167
mmClasicaPosix,500,1,2,690837
mmClasicaPosix,500,1,3,770573
mmClasicaPosix,500,1,4,627035
mmClasicaPosix,500,1,5,697487
mmClasicaPosix,500,1,6,733463
mmClasicaPosix,500,1,7,687435
mmClasicaPosix,500,1,8,953122
mmClasicaPosix,500,1,9,687402
mmClasicaPosix,500,1,10,867659
mmClasicaPosix,500,1,11,699760
mmClasicaPosix,500,1,12,654464
mmClasicaPosix,500,1,13,770669
mmClasicaPosix,500,1,14,734889
mmClasicaPosix,500,1,15,659561
mmClasicaPosix,500,1,16,712927
mmClasicaPosix,500,1,17,775699
mmClasicaPosix,500,1,18,711379
mmClasicaPosix,500,1,19,721838
mmClasicaPosix,500,1,20,682834
mmClasicaPosix,500,1,21,719987
mmClasicaPosix,500,1,22,737578
mmClasicaPosix,500,1,23,669627
mmClasicaPosix,500,1,24,671607
mmClasicaPosix,500,1,25,745381
mmClasicaPosix,500,1,26,679845
mmClasicaPosix,500,1,27,725756
mmClasicaPosix,500,1,28,693774
mmClasicaPosix,500,1,29,735900
mmClasicaPosix,500,1,30,733623
mmClasicaPosix,500,2,1,396731
mmClasicaPosix,500,2,2,393520
mmClasicaPosix,500,2,3,382367
mmClasicaPosix,500,2,4,365049
mmClasicaPosix,500,2,5,516580
mmClasicaPosix,500,2,6,469437
mmClasicaPosix,500,2,7,453871
mmClasicaPosix,500,2,8,380245
mmClasicaPosix,500,2,9,505967
mmClasicaPosix,500,2,10,445787
mmClasicaPosix,500,2,11,513736
mmClasicaPosix,500,2,12,395188
mmClasicaPosix,500,2,13,509900
mmClasicaPosix,500,2,14,436323
mmClasicaPosix,500,2,15,417594
mmClasicaPosix,500,2,16,354816
mmClasicaPosix,500,2,17,360170
mmClasicaPosix,500,2,18,377917
mmClasicaPosix,500,2,19,361743
mmClasicaPosix,500,2,20,400989
mmClasicaPosix,500,2,21,404411
mmClasicaPosix,500,2,22,380612
mmClasicaPosix,500,2,23,387176
mmClasicaPosix,500,2,24,368369
mmClasicaPosix,500,2,25,392566
mmClasicaPosix,500,2,26,425491
mmClasicaPosix,500,2,27,456877
mmClasicaPosix,500,2,28,376656
mmClasicaPosix,500,2,29,395238
mmClasicaPosix,500,2,30,364852
mmClasicaPosix,500,4,1,319195
mmClasicaPosix,500,4,2,244485
mmClasicaPosix,500,4,3,286016
mmClasicaPosix,500,4,4,246495
mmClasicaPosix,500,4,5,259419
mmClasicaPosix,500,4,6,244791
mmClasicaPosix,500,4,7,235908
mmClasicaPosix,500,4,8,325161
mmClasicaPosix,500,4,9,248458
mmClasicaPosix,500,4,10,262797
mmClasicaPosix,500,4,11,254296
mmClasicaPosix,500,4,12,260142
mmClasicaPosix,500,4,13,314319
mmClasicaPosix,500,4,14,296560
mmClasicaPosix,500,4,15,255071
mmClasicaPosix,500,4,16,262998
mmClasicaPosix,500,4,17,266273
mmClasicaPosix,500,4,18,247540
mmClasicaPosix,500,4,19,367483
mmClasicaPosix,500,4,20,320910
mmClasicaPosix,500,4,21,293432
mmClasicaPosix,500,4,22,327281
mmClasicaPosix,500,4,23,315649
mmClasicaPosix,500,4,24,252816
mmClasicaPosix,500,4,25,291999
mmClasicaPosix,500,4,26,271268
mmClasicaPosix,500,4,27,266167
mmClasicaPosix,500,4,28,261099
mmClasicaPosix,500,4,29,287413
mmClasicaPosix,500,4,30,238045
mmClasicaPosix,500,8,1,278570
mmClasicaPosix,500,8,2,240892
mmClasicaPosix,500,8,3,217580
mmClasicaPosix,500,8,4,226846
mmClasicaPosix,500,8,5,248837
mmClasicaPosix,500,8,6,270153
mmClasicaPosix,500,8,7,245164
mmClasicaPosix,500,8,8,249094
mmClasicaPosix,500,8,9,245593
mmClasicaPosix,500,8,10,237667
mmClasicaPosix,500,8,11,234270
mmClasicaPosix,500,8,12,233644
mmClasicaPosix,500,8,13,266670
mmClasicaPosix,500,8,14,244863
mmClasicaPosix,500,8,15,269803
mmClasicaPosix,500,8,16,246307
mmClasicaPosix,500,8,17,250290
mmClasicaPosix,500,8,18,227159
mmClasicaPosix,500,8,19,229523
mmClasicaPosix,500,8,20,267730
mmClasicaPosix,500,8,21,258396
mmClasicaPosix,500,8,22,227629
mmClasicaPosix,500,8,23,225369
mmClasicaPosix,500,8,24,277333
mmClasicaPosix,500,8,25,249178
mmClasicaPosix,500,8,26,277689
mmClasicaPosix,500,8,27,263387
mmClasicaPosix,500,8,28,223300
mmClasicaPosix,500,8,29,243979
mmClasicaPosix,500,8,30,232457
mmClasicaPosix,500,12,1,271521
mmClasicaPosix,500,12,2,214533
mmClasicaPosix,500,12,3,229428
mmClasicaPosix,500,12,4,227404
mmClasicaPosix,500,12,5,279513
mmClasicaPosix,500,12,6,243612
mmClasicaPosix,500,12,7,260986
mmClasicaPosix,500,12,8,256418
mmClasicaPosix,500,12,9,248649
mmClasicaPosix,500,12,10,233081
mmClasicaPosix,500,12,11,221739
mmClasicaPosix,500,12,12,218637
mmClasicaPosix,500,12,13,215626
mmClasicaPosix,500,12,14,209874
mmClasicaPosix,500,12,15,217748
mmClasicaPosix,500,12,16,224228
mmClasicaPosix,500,12,17,235655
mmClasicaPosix,500,12,18,223152
mmClasicaPosix,500,12,19,230056
mmClasicaPosix,500,12,20,264651
mmClasicaPosix,500,12,21,231783
mmClasicaPosix,500,12,22,217149
mmClasicaPosix,500,12,23,234486
mmClasicaPosix,500,12,24,262290
mmClasicaPosix,500,12,25,219720
mmClasicaPosix,500,12,26,226376
mmClasicaPosix,500,12,27,215058
mmClasicaPosix,500,12,28,231863
mmClasicaPosix,500,12,29,248539
mmClasicaPosix,500,12,30,223617
mmClasicaPosix,500,16,1,282596
mmClasicaPosix,500,16,2,237607
mmClasicaPosix,500,16,3,220424
mmClasicaPosix,500,16,4,249597
mmClasicaPosix,500,16,5,215052
mmClasicaPosix,500,16,6,255757
mmClasicaPosix,500,16,7,223548
mmClasicaPosix,500,16,8,228108
mmClasicaPosix,500,16,9,238076
mmClasicaPosix,500,16,10,252163
mmClasicaPosix,500,16,11,260020
mmClasicaPosix,500,16,12,235372
mmClasicaPosix,500,16,13,235770
mmClasicaPosix,500,16,14,234143
mmClasicaPosix,500,16,15,243524
mmClasicaPosix,500,16,16,244222
mmClasicaPosix,500,16,17,214240
mmClasicaPosix,500,16,18,234766
mmClasicaPosix,500,16,19,233245
mmClasicaPosix,500,16,20,234347
