Algoritmo,Tamano_Matriz,Num_Hilos,Repeticion,Tiempo_usec
mmClasicaPosix,100,1,1,4354
mmClasicaPosix,100,1,2,3858
mmClasicaPosix,100,1,3,3286
mmClasicaPosix,100,1,4,4196
mmClasicaPosix,100,1,5,4058
mmClasicaPosix,100,1,6,5958
mmClasicaPosix,100,1,7,3976
mmClasicaPosix,100,1,8,4925
mmClasicaPosix,100,1,9,4983
mmClasicaPosix,100,1,10,4117
mmClasicaPosix,100,1,11,3521
mmClasicaPosix,100,1,12,3990
mmClasicaPosix,100,1,13,3905
mmClasicaPosix,100,1,14,4122
mmClasicaPosix,100,1,15,4514
mmClasicaPosix,100,1,16,5813
mmClasicaPosix,100,1,17,3288
mmClasicaPosix,100,1,18,3805
mmClasicaPosix,100,1,19,6981
mmClasicaPosix,100,1,20,4239
mmClasicaPosix,100,1,21,5148
mmClasicaPosix,100,1,22,4280
mmClasicaPosix,100,1,23,4541
mmClasicaPosix,100,1,24,3988
mmClasicaPosix,100,1,25,3909
mmClasicaPosix,100,1,26,4077
mmClasicaPosix,100,1,27,4036
mmClasicaPosix,100,1,28,3976
mmClasicaPosix,100,1,29,3317
mmClasicaPosix,100,1,30,3419
mmClasicaPosix,100,2,1,2179
mmClasicaPosix,100,2,2,1833
mmClasicaPosix,100,2,3,2247
mmClasicaPosix,100,2,4,2998
mmClasicaPosix,100,2,5,3199
mmClasicaPosix,100,2,6,8235
mmClasicaPosix,100,2,7,5264
mmClasicaPosix,100,2,8,9172
mmClasicaPosix,100,2,9,5084
mmClasicaPosix,100,2,10,2210
mmClasicaPosix,100,2,11,3612
mmClasicaPosix,100,2,12,2535
mmClasicaPosix,100,2,13,2318
mmClasicaPosix,100,2,14,3707
mmClasicaPosix,100,2,15,2208
mmClasicaPosix,100,2,16,3285
mmClasicaPosix,100,2,17,2739
mmClasicaPosix,100,2,18,2210
mmClasicaPosix,100,2,19,2230
mmClasicaPosix,100,2,20,2211
mmClasicaPosix,100,2,21,2100
mmClasicaPosix,100,2,22,2336
mmClasicaPosix,100,2,23,2314
mmClasicaPosix,100,2,24,2688
mmClasicaPosix,100,2,25,2232
mmClasicaPosix,100,2,26,2516
mmClasicaPosix,100,2,27,3166
mmClasicaPosix,100,2,28,2455
mmClasicaPosix,100,2,29,2655
mmClasicaPosix,100,2,30,2651
mmClasicaPosix,100,4,1,2421
mmClasicaPosix,100,4,2,1904
mmClasicaPosix,100,4,3,2122
mmClasicaPosix,100,4,4,2111
mmClasicaPosix,100,4,5,2608
mmClasicaPosix,100,4,6,3436
mmClasicaPosix,100,4,7,3183
mmClasicaPosix,100,4,8,3735
mmClasicaPosix,100,4,9,7349
mmClasicaPosix,100,4,10,2472
mmClasicaPosix,100,4,11,2017
mmClasicaPosix,100,4,12,2507
mmClasicaPosix,100,4,13,9970
mmClasicaPosix,100,4,14,2591
mmClasicaPosix,100,4,15,7750
mmClasicaPosix,100,4,16,2065
mmClasicaPosix,100,4,17,2367
mmClasicaPosix,100,4,18,2704
mmClasicaPosix,100,4,19,1969
mmClasicaPosix,100,4,20,2749
mmClasicaPosix,100,4,21,1737
mmClasicaPosix,100,4,22,2259
mmClasicaPosix,100,4,23,1969
mmClasicaPosix,100,4,24,1922
mmClasicaPosix,100,4,25,2217
mmClasicaPosix,100,4,26,2071
mmClasicaPosix,100,4,27,2116
mmClasicaPosix,100,4,28,2144
mmClasicaPosix,100,4,29,2009
mmClasicaPosix,100,4,30,1780
mmClasicaPosix,100,8,1,2495
mmClasicaPosix,100,8,2,2381
mmClasicaPosix,100,8,3,3235
mmClasicaPosix,100,8,4,2109
mmClasicaPosix,100,8,5,1646
mmClasicaPosix,100,8,6,1939
mmClasicaPosix,100,8,7,2188
mmClasicaPosix,100,8,8,2659
mmClasicaPosix,100,8,9,5172
mmClasicaPosix,100,8,10,6328
mmClasicaPosix,100,8,11,1973
mmClasicaPosix,100,8,12,3508
mmClasicaPosix,100,8,13,2154
mmClasicaPosix,100,8,14,2689
mmClasicaPosix,100,8,15,3011
mmClasicaPosix,100,8,16,1690
mmClasicaPosix,100,8,17,2087
mmClasicaPosix,100,8,18,2665
mmClasicaPosix,100,8,19,2532
mmClasicaPosix,100,8,20,1581
mmClasicaPosix,100,8,21,1985
mmClasicaPosix,100,8,22,2363
mmClasicaPosix,100,8,23,2187
mmClasicaPosix,100,8,24,2005
mmClasicaPosix,100,8,25,2392
mmClasicaPosix,100,8,26,2260
mmClasicaPosix,100,8,27,2472
mmClasicaPosix,100,8,28,1842
mmClasicaPosix,100,8,29,1693
mmClasicaPosix,100,8,30,1743
mmClasicaPosix,100,12,1,1819
mmClasicaPosix,100,12,2,1611
mmClasicaPosix,100,12,3,2503
mmClasicaPosix,100,12,4,2218
mmClasicaPosix,100,12,5,2232
mmClasicaPosix,100,12,6,1979
mmClasicaPosix,100,12,7,5346
mmClasicaPosix,100,12,8,3188
mmClasicaPosix,100,12,9,5502
mmClasicaPosix,100,12,10,6694
mmClasicaPosix,100,12,11,3012
mmClasicaPosix,100,12,12,3091
mmClasicaPosix,100,12,13,2962
mmClasicaPosix,100,12,14,3616
mmClasicaPosix,100,12,15,2291
mmClasicaPosix,100,12,16,3212
mmClasicaPosix,100,12,17,1709
mmClasicaPosix,100,12,18,1721
mmClasicaPosix,100,12,19,4003
mmClasicaPosix,100,12,20,1825
mmClasicaPosix,100,12,21,2124
mmClasicaPosix,100,12,22,1744
mmClasicaPosix,100,12,23,2122
mmClasicaPosix,100,12,24,1810
mmClasicaPosix,100,12,25,1837
mmClasicaPosix,100,12,26,2845
mmClasicaPosix,100,12,27,1791
mmClasicaPosix,100,12,28,2072
mmClasicaPosix,100,12,29,2273
mmClasicaPosix,100,12,30,2554
mmClasicaPosix,100,16,1,2172
mmClasicaPosix,100,16,2,2571
mmClasicaPosix,100,16,3,3686
mmClasicaPosix,100,16,4,1709
mmClasicaPosix,100,16,5,1925
mmClasicaPosix,100,16,6,2468
mmClasicaPosix,100,16,7,2551
mmClasicaPosix,100,16,8,2176
mmClasicaPosix,100,16,9,2864
mmClasicaPosix,100,16,10,4683
mmClasicaPosix,100,16,11,9571
mmClasicaPosix,100,16,12,1904
mmClasicaPosix,100,16,13,5990
mmClasicaPosix,100,16,14,4069
mmClasicaPosix,100,16,15,2482
mmClasicaPosix,100,16,16,2451
mmClasicaPosix,100,16,17,2054
mmClasicaPosix,100,16,18,1873
mmClasicaPosix,100,16,19,3300
mmClasicaPosix,100,16,20,2352
mmClasicaPosix,100,16,21,2178
mmClasicaPosix,100,16,22,2418
mmClasicaPosix,100,16,23,2216
mmClasicaPosix,100,16,24,2488
mmClasicaPosix,100,16,25,1581
mmClasicaPosix,100,16,26,2806
mmClasicaPosix,100,16,27,2096
mmClasicaPosix,100,16,28,2451
mmClasicaPosix,100,16,29,2534
mmClasicaPosix,100,16,30,1932
mmClasicaPosix,500,1,1,518485
mmClasicaPosix,500,1,2,676460
mmClasicaPosix,500,1,3,617864
mmClasicaPosix,500,1,4,608846
mmClasicaPosix,500,1,5,612783
mmClasicaPosix,500,1,6,669968
mmClasicaPosix,500,1,7,539610
mmClasicaPosix,500,1,8,626167
mmClasicaPosix,500,1,9,674155
mmClasicaPosix,500,1,10,471340
mmClasicaPosix,500,1,11,606658
mmClasicaPosix,500,1,12,541106
mmClasicaPosix,500,1,13,547101
mmClasicaPosix,500,1,14,532839
mmClasicaPosix,500,1,15,538473
mmClasicaPosix,500,1,16,517090
mmClasicaPosix,500,1,17,510154
mmClasicaPosix,500,1,18,647733
mmClasicaPosix,500,1,19,658326
mmClasicaPosix,500,1,20,519877
mmClasicaPosix,500,1,21,559745
mmClasicaPosix,500,1,22,577549
mmClasicaPosix,500,1,23,670875
mmClasicaPosix,500,1,24,473559
mmClasicaPosix,500,1,25,660427
mmClasicaPosix,500,1,26,539499
mmClasicaPosix,500,1,27,549429
mmClasicaPosix,500,1,28,566080
mmClasicaPosix,500,1,29,517834
mmClasicaPosix,500,1,30,974640
mmClasicaPosix,500,2,1,348027
mmClasicaPosix,500,2,2,344660
mmClasicaPosix,500,2,3,266515
mmClasicaPosix,500,2,4,472577
mmClasicaPosix,500,2,5,487689
mmClasicaPosix,500,2,6,285002
mmClasicaPosix,500,2,7,286040
mmClasicaPosix,500,2,8,286492
mmClasicaPosix,500,2,9,285900
mmClasicaPosix,500,2,10,332037
mmClasicaPosix,500,2,11,299199
mmClasicaPosix,500,2,12,278099
mmClasicaPosix,500,2,13,307693
mmClasicaPosix,500,2,14,320813
mmClasicaPosix,500,2,15,252570
mmClasicaPosix,500,2,16,295126
mmClasicaPosix,500,2,17,292601
mmClasicaPosix,500,2,18,320510
mmClasicaPosix,500,2,19,419071
mmClasicaPosix,500,2,20,259887
mmClasicaPosix,500,2,21,272083
mmClasicaPosix,500,2,22,284396
mmClasicaPosix,500,2,23,290358
mmClasicaPosix,500,2,24,287898
mmClasicaPosix,500,2,25,292594
mmClasicaPosix,500,2,26,328353
mmClasicaPosix,500,2,27,337756
mmClasicaPosix,500,2,28,320384
mmClasicaPosix,500,2,29,282094
mmClasicaPosix,500,2,30,340829
mmClasicaPosix,500,4,1,243887
mmClasicaPosix,500,4,2,243211
mmClasicaPosix,500,4,3,227252
mmClasicaPosix,500,4,4,298665
mmClasicaPosix,500,4,5,215789
mmClasicaPosix,500,4,6,306930
mmClasicaPosix,500,4,7,190010
mmClasicaPosix,500,4,8,224628
mmClasicaPosix,500,4,9,222259
mmClasicaPosix,500,4,10,273647
mmClasicaPosix,500,4,11,277071
mmClasicaPosix,500,4,12,205232
mmClasicaPosix,500,4,13,246779
mmClasicaPosix,500,4,14,283939
mmClasicaPosix,500,4,15,184496
mmClasicaPosix,500,4,16,215998
mmClasicaPosix,500,4,17,213770
mmClasicaPosix,500,4,18,210493
mmClasicaPosix,500,4,19,185941
mmClasicaPosix,500,4,20,211076
mmClasicaPosix,500,4,21,231592
mmClasicaPosix,500,4,22,164318
mmClasicaPosix,500,4,23,188567
mmClasicaPosix,500,4,24,236896
mmClasicaPosix,500,4,25,216763
mmClasicaPosix,500,4,26,227623
mmClasicaPosix,500,4,27,191275
mmClasicaPosix,500,4,28,235044
mmClasicaPosix,500,4,29,284311
mmClasicaPosix,500,4,30,242504
mmClasicaPosix,500,8,1,212156
mmClasicaPosix,500,8,2,227376
mmClasicaPosix,500,8,3,171314
mmClasicaPosix,500,8,4,207336
mmClasicaPosix,500,8,5,209469
mmClasicaPosix,500,8,6,199130
mmClasicaPosix,500,8,7,214403
mmClasicaPosix,500,8,8,196623
mmClasicaPosix,500,8,9,230985
mmClasicaPosix,500,8,10,202858
mmClasicaPosix,500,8,11,194055
mmClasicaPosix,500,8,12,245091
mmClasicaPosix,500,8,13,251369
mmClasicaPosix,500,8,14,294239
mmClasicaPosix,500,8,15,213969
mmClasicaPosix,500,8,16,203542
mmClasicaPosix,500,8,17,193317
mmClasicaPosix,500,8,18,233061
mmClasicaPosix,500,8,19,186467
mmClasicaPosix,500,8,20,191599
mmClasicaPosix,500,8,21,183546
mmClasicaPosix,500,8,22,203623
mmClasicaPosix,500,8,23,189806
mmClasicaPosix,500,8,24,210491
mmClasicaPosix,500,8,25,177378
mmClasicaPosix,500,8,26,184603
mmClasicaPosix,500,8,27,344835
mmClasicaPosix,500,8,28,464013
mmClasicaPosix,500,8,29,314611
mmClasicaPosix,500,8,30,255235
mmClasicaPosix,500,12,1,223929
mmClasicaPosix,500,12,2,239903
mmClasicaPosix,500,12,3,275545
mmClasicaPosix,500,12,4,277236
mmClasicaPosix,500,12,5,246151
mmClasicaPosix,500,12,6,206962
mmClasicaPosix,500,12,7,194075
mmClasicaPosix,500,12,8,208488
mmClasicaPosix,500,12,9,162917
mmClasicaPosix,500,12,10,193998
mmClasicaPosix,500,12,11,186054
mmClasicaPosix,500,12,12,233137
mmClasicaPosix,500,12,13,207965
mmClasicaPosix,500,12,14,212491
mmClasicaPosix,500,12,15,239419
mmClasicaPosix,500,12,16,317599
mmClasicaPosix,500,12,17,272152
mmClasicaPosix,500,12,18,238341
mmClasicaPosix,500,12,19,291623
mmClasicaPosix,500,12,20,302449
mmClasicaPosix,500,12,21,251169
mmClasicaPosix,500,12,22,199677
mmClasicaPosix,500,12,23,214106
mmClasicaPosix,500,12,24,200512
mmClasicaPosix,500,12,25,249987
mmClasicaPosix,500,12,26,190243
mmClasicaPosix,500,12,27,209238
mmClasicaPosix,500,12,28,203614
mmClasicaPosix,500,12,29,185319
mmClasicaPosix,500,12,30,173771
mmClasicaPosix,500,16,1,220527
mmClasicaPosix,500,16,2,199978
mmClasicaPosix,500,16,3,219616
mmClasicaPosix,500,16,4,311442
mmClasicaPosix,500,16,5,326974
mmClasicaPosix,500,16,6,344311
mmClasicaPosix,500,16,7,370108
mmClasicaPosix,500,16,8,321654
mmClasicaPosix,500,16,9,263887
mmClasicaPosix,500,16,10,265597
mmClasicaPosix,500,16,11,254222
mmClasicaPosix,500,16,12,245626
mmClasicaPosix,500,16,13,177498
mmClasicaPosix,500,16,14,227181
mmClasicaPosix,500,16,15,279686
mmClasicaPosix,500,16,16,211441
mmClasicaPosix,500,16,17,244057
mmClasicaPosix,500,16,18,203967
mmClasicaPosix,500,16,19,182131
mmClasicaPosix,500,16,20,191241
mmClasicaPosix,500,16,21,218383
mmClasicaPosix,500,16,22,217464
mmClasicaPosix,500,16,23,229313
mmClasicaPosix,500,16,24,272391
mmClasicaPosix,500,16,25,214173
mmClasicaPosix,500,16,26,195426
mmClasicaPosix,500,16,27,190775
mmClasicaPosix,500,16,28,232640
mmClasicaPosix,500,16,29,210063
mmClasicaPosix,500,16,30,207228
mmClasicaPosix,1000,1,1,6661057
mmClasicaPosix,1000,1,2,7715686
mmClasicaPosix,1000,1,3,7007269
mmClasicaPosix,1000,1,4,6990845
mmClasicaPosix,1000,1,5,6650429
mmClasicaPosix,1000,1,6,6750775
mmClasicaPosix,1000,1,7,7213701
mmClasicaPosix,1000,1,8,6869524
mmClasicaPosix,1000,1,9,6795640
mmClasicaPosix,1000,1,10,8611952
mmClasicaPosix,1000,1,11,6538106
mmClasicaPosix,1000,1,12,6541652
mmClasicaPosix,1000,1,13,7459359
mmClasicaPosix,1000,1,14,6622518
mmClasicaPosix,1000,1,15,7012251
mmClasicaPosix,1000,1,16,7175345
mmClasicaPosix,1000,1,17,6513085
mmClasicaPosix,1000,1,18,6426210
mmClasicaPosix,1000,1,19,6083902
mmClasicaPosix,1000,1,20,6361261
mmClasicaPosix,1000,1,21,5986040
mmClasicaPosix,1000,1,22,6851675
mmClasicaPosix,1000,1,23,5872122
mmClasicaPosix,1000,1,24,5680145
mmClasicaPosix,1000,1,25,4835131
mmClasicaPosix,1000,1,26,5092664
mmClasicaPosix,1000,1,27,5650892
mmClasicaPosix,1000,1,28,6177540
mmClasicaPosix,1000,1,29,5945541
mmClasicaPosix,1000,1,30,5920680
mmClasicaPosix,1000,2,1,2744259
mmClasicaPosix,1000,2,2,2818039
mmClasicaPosix,1000,2,3,3098831
mmClasicaPosix,1000,2,4,3311726
mmClasicaPosix,1000,2,5,4652289
mmClasicaPosix,1000,2,6,4483387
mmClasicaPosix,1000,2,7,4239115
mmClasicaPosix,1000,2,8,3825320
mmClasicaPosix,1000,2,9,3785775
mmClasicaPosix,1000,2,10,4253146
mmClasicaPosix,1000,2,11,4408537
mmClasicaPosix,1000,2,12,4663481
mmClasicaPosix,1000,2,13,4828197
mmClasicaPosix,1000,2,14,4617712
mmClasicaPosix,1000,2,15,4707229
mmClasicaPosix,1000,2,16,4432967
mmClasicaPosix,1000,2,17,3923362
mmClasicaPosix,1000,2,18,4070933
mmClasicaPosix,1000,2,19,3680907
mmClasicaPosix,1000,2,20,3552923
mmClasicaPosix,1000,2,21,3768505
mmClasicaPosix,1000,2,22,3332583
mmClasicaPosix,1000,2,23,3173257
mmClasicaPosix,1000,2,24,3039562
mmClasicaPosix,1000,2,25,2455305
mmClasicaPosix,1000,2,26,2659260
mmClasicaPosix,1000,2,27,2872230
mmClasicaPosix,1000,2,28,2755864
mmClasicaPosix,1000,2,29,3104272
mmClasicaPosix,1000,2,30,2743796
mmClasicaPosix,1000,4,1,1870371
mmClasicaPosix,1000,4,2,1662746
mmClasicaPosix,1000,4,3,1370838
mmClasicaPosix,1000,4,4,1658480
mmClasicaPosix,1000,4,5,2099691
mmClasicaPosix,1000,4,6,1508037
mmClasicaPosix,1000,4,7,1341706
mmClasicaPosix,1000,4,8,1448052
mmClasicaPosix,1000,4,9,1562439
mmClasicaPosix,1000,4,10,1408727
mmClasicaPosix,1000,4,11,1286152
mmClasicaPosix,1000,4,12,1583282
mmClasicaPosix,1000,4,13,2047898
mmClasicaPosix,1000,4,14,1926655
mmClasicaPosix,1000,4,15,1935449
mmClasicaPosix,1000,4,16,1833912
mmClasicaPosix,1000,4,17,1925679
mmClasicaPosix,1000,4,18,2366249
mmClasicaPosix,1000,4,19,3143268
mmClasicaPosix,1000,4,20,2159469
mmClasicaPosix,1000,4,21,1593505
mmClasicaPosix,1000,4,22,1375539
mmClasicaPosix,1000,4,23,2205254
mmClasicaPosix,1000,4,24,2352784
mmClasicaPosix,1000,4,25,1891021
mmClasicaPosix,1000,4,26,1461016
mmClasicaPosix,1000,4,27,1550537
mmClasicaPosix,1000,4,28,1569981
mmClasicaPosix,1000,4,29,1476567
mmClasicaPosix,1000,4,30,1525703
